z, snapnum, Lx, Ly, Lz, bvx, bvy, bvz
13.847787895001, 011, -4.599457990776355e+27, 3.7222540121868624e+27, -5.590140106974181e+25, -66.22418039589645, 60.58383539006043, 33.8196477890203
13.725387887113, 012, 5.060928404212412e+26, -4.0288395241248323e+27, 2.6556138154163903e+27, -67.580455334971, 60.35915810926209, 35.914002556416555
13.602787868478, 013, -1.635783437818341e+27, -1.5167571942967214e+27, 2.594273082487345e+27, -68.31438254410709, 59.606874853375515, 37.25374874339511
13.482288075301, 014, 2.2603791665998015e+26, 5.492456809830315e+27, 9.832771661954024e+27, -67.36225478221446, 57.496462163550405, 42.47224019272717
9.3971913713453, 058, 1.0924203176034832e+27, 1.4454036060816556e+28, -3.343540037733461e+28, -62.467182117160576, 81.32394778138246, 47.64308281241178
9.3113915090456, 059, 2.1274602394659347e+27, 9.410869043932348e+27, -1.2253392791051438e+28, -61.889841526411715, 82.05517676172309, 48.277448700077116
9.2269916470333, 060, 4.027577972888559e+26, -4.421517103957067e+26, 4.362914401440407e+27, -60.95853698644425, 83.00099989109195, 48.139300715649874
9.1419915889082, 061, 1.3303385080582544e+28, -2.6889046676356286e+28, -2.8221960064587804e+27, -60.34164374346718, 83.81897575488718, 47.90125941987869
9.0582917167547, 062, -2.459031243625169e+27, -9.616370151910429e+27, 1.117803530534334e+28, -61.48496311052567, 84.36590562424607, 48.27328349994956
8.9999942129972, 063, 3.0371788586044216e+27, -8.035739750585338e+27, 1.1899938517087533e+28, -58.51589925992632, 87.285124483049, 44.97661409566876
8.9760976177094, 064, 1.7452351651290904e+27, -7.781170465398367e+27, 8.719371776802167e+27, -59.53483908259285, 86.24319554980917, 46.808958557816645
8.8931917960193, 065, -6.749129386777524e+27, -1.8796034057419585e+28, 3.117009638281639e+28, -59.17271095691418, 88.73293107201567, 44.47303906488797
8.8115919247802, 066, 4.435848910324261e+27, 2.9735676827486378e+28, -1.9254024453373538e+28, -59.796690096797164, 89.12262004626787, 46.84448873459349
8.7313920625196, 067, 5.022841307947259e+27, 1.1406684198652814e+28, -3.94150840038003e+27, -60.159528743918, 91.46567376304799, 45.69362999156788
8.6505920041932, 068, -1.1745141553031573e+27, -5.543036872679953e+27, 1.1656614451826256e+28, -61.960532068932814, 91.94148259397527, 48.9751838395582
8.5711921422878, 069, 9.732222089235002e+27, -3.973033993519314e+27, -4.8080812727402924e+27, -62.38928943256503, 93.15794502366832, 48.89838312726945
8.4921921819391, 070, 1.6589571031998505e+28, 5.842338868479446e+27, -1.0318553821795919e+28, -62.78951785439329, 93.8090523177861, 48.54946015058229
8.4134922121728, 071, 9.29254440137242e+27, 3.5277572463317626e+27, -5.707070831610051e+27, -62.849266914267496, 93.90310022316687, 47.04979092756997
8.3361923498816, 072, 5.106942294988641e+26, -3.5270480899166386e+26, -1.866438939253702e+27, -62.89930983637326, 93.96179014102643, 45.54493173873314
8.2592923894579, 073, 1.523865070679989e+28, 1.1484780756270108e+27, 1.2200872691217788e+28, -61.663940286867216, 94.72834707148462, 43.78535108667783
8.1826924198018, 074, 2.02900321244174e+28, -1.6535526606001253e+28, 4.797291632670277e+28, -61.47537456976491, 95.08301265362645, 43.367720960882664
8.1065924692177, 075, 1.8257837061643727e+28, -1.4550933927490472e+28, 5.8174565771032436e+28, -61.384044295394176, 95.23894977734675, 42.79222262883707
8.0317925973849, 076, -1.4626416159148925e+28, -4.261507709652536e+28, 2.5665094461545776e+28, -61.65777592601725, 95.27746323459846, 42.5674051530528
8.0000968445394, 077, -2.14414345116796e+28, -2.161113234379152e+28, 1.592372351931929e+28, -61.83912276356586, 95.30646916950748, 42.540848546494594
7.9573957555987, 078, -2.71823492562162e+28, -1.7676171848625088e+28, 6.191641577064642e+27, -62.78345878480955, 95.52851400694662, 42.55668451106433
7.8833926763339, 079, -2.3808680568931203e+28, -1.8663008650798724e+27, -1.656168888399673e+28, -63.12612945198864, 95.71896015065386, 42.53227042151948
7.8105927951406, 080, -1.995733772338426e+28, -3.2493097265842913e+27, -1.2168659025484976e+28, -61.97338955330682, 95.33258773964478, 41.8490277169312
7.7373927563427, 081, 4.804115794594544e+27, 4.181435530942472e+26, -1.6372975877070343e+28, -61.933804763192974, 94.605940460967, 41.291640101481484
7.6654928845141, 082, 8.714747584359867e+27, 9.418061402186207e+27, -2.821955107585928e+28, -62.681163054186634, 94.77518059243786, 41.15245870706917
7.5939929241901, 083, 3.4517073353145665e+27, 1.471920293344946e+28, -2.452269215475534e+28, -61.44752156781631, 93.32573657042698, 40.78410672547495
7.5229929734813, 084, 3.655500484449087e+27, -2.4560300832712383e+27, 1.8188899828886119e+28, -61.866477774784386, 93.89696275533964, 41.176064763607975
