z, snapnum, center_x, center_y, center_z, Rvir
13.847787895001, 011, 2884.8973137499506, 2921.8958729393635, 2868.726437510504, 7.905628679941059
13.725387887113, 012, 2908.6699817098743, 2946.4562092490723, 2892.555300305138, 8.510560950751975
13.602787868478, 013, 2932.8854244566537, 2971.497838424706, 2916.8066608504973, 8.64602465955631
13.482288075301, 014, 2957.101826009691, 2996.5605976668253, 2940.9952759304465, 8.373962261507833
9.3971913713453, 058, 4101.407080733087, 4189.553323797796, 4106.991882372845, 12.231903091895855
9.3113915090456, 059, 4135.003741335848, 4224.864616830946, 4141.242663725867, 12.58694946246766
9.2269916470333, 060, 4168.291175427632, 4260.181199331594, 4175.634676086787, 12.764269527855454
9.1419915889082, 061, 4202.43208607949, 4296.664412105117, 4210.770352185389, 12.572626523682105
9.0582917167547, 062, 4236.745328125284, 4333.10702274762, 4246.115244955911, 12.730018572058508
8.9999942129972, 063, 4261.120151170366, 4358.613102094408, 4271.197231490543, 12.651565817136682
8.9760976177094, 064, 4271.211695334274, 4369.16476262893, 4281.575347103298, 12.686694736965991
8.8931917960193, 065, 4306.680555336486, 4406.494494874535, 4317.749602222882, 12.841039189033395
8.8115919247802, 066, 4342.113210478986, 4443.239090712773, 4353.978786169512, 13.028768039637473
8.7313920625196, 067, 4377.539268525221, 4479.895360913084, 4390.230427350032, 13.312421708836107
8.6505920041932, 068, 4414.149524490531, 4517.570534551496, 4427.382253684982, 13.19373513624379
8.5711921422878, 069, 4450.753783771559, 4555.389406997172, 4464.484586723507, 13.483558554766924
8.4921921819391, 070, 4487.724529835069, 4593.958478292501, 4501.991384424585, 13.469386141211938
8.4134922121728, 071, 4524.850547429896, 4633.281435243885, 4539.950768708198, 13.731109936512944
8.3361923498816, 072, 4561.871239304421, 4672.654137902691, 4577.828735710489, 13.853767030836725
8.2592923894579, 073, 4598.92328807101, 4712.5756415070255, 4616.120731116898, 13.902767170022466
8.1826924198018, 074, 4636.217415097559, 4753.100455681615, 4654.951023902648, 14.154838883586706
8.1065924692177, 075, 4674.031750065127, 4794.250797117076, 4694.227416340593, 14.842627989770044
8.0317925973849, 076, 4712.417570676773, 4835.2512326370315, 4733.406540668498, 14.578643913317647
8.0000968445394, 077, 4729.00630239535, 4852.738518643322, 4750.293745108222, 14.768306784073726
7.9573957555987, 078, 4751.563549459323, 4876.4641166272195, 4773.178497112258, 14.90445065152359
7.8833926763339, 079, 4790.824632645684, 4918.194465294281, 4813.282666615709, 15.144996137132397
7.8105927951406, 080, 4829.571545428576, 4960.35103174393, 4853.65426859626, 15.375883968087356
7.7373927563427, 081, 4869.839924566617, 5003.062777035508, 4895.129187400948, 15.527347910482371
7.6654928845141, 082, 4909.839458850037, 5045.807754303792, 4936.259648351164, 15.871760188571226
7.5939929241901, 083, 4949.83317601483, 5088.6042827166875, 4977.937271352017, 15.862998232535668
7.5229929734813, 084, 4989.859041882337, 5131.761130707266, 5020.233048165697, 15.92923609085908
7.4530930821942, 085, 5030.413711193967, 5174.9694091071815, 5062.541079971232, 16.04392349637574
7.3828930531443, 086, 5071.849561320074, 5219.26957033023, 5105.239366884655, 16.60853383662676
7.3138931715183, 087, 5113.414507537285, 5263.492554415601, 5147.575208564547, 16.66752143173536
7.2453932209534, 088, 5155.697115820585, 5307.960653269867, 5190.407758581674, 16.741504508789426
7.1772932603986, 089, 5198.503554730936, 5352.895991680001, 5233.505683886962, 17.27601515644041
7.1095933005624, 090, 5241.624210858336, 5398.203655839052, 5277.2972349820375, 16.998667709268847
7.0430934183956, 091, 5284.362543226096, 5443.785169731199, 5320.786259607283, 17.291474157283105
6.9999957194663, 092, 5312.443055976363, 5473.772257713784, 5349.7316855673525, 17.379358301946436
6.976397649115, 093, 5328.0178525127585, 5490.34115624556, 5365.752529096956, 17.55019798580888
6.9107935073922, 094, 5371.206942343173, 5536.878395254085, 5410.366597136113, 17.761760141069452
6.8455935471956, 095, 5414.355489174955, 5583.964718281217, 5455.573728195512, 17.78005251084592
6.7808935971673, 096, 5458.063884703255, 5631.420372437278, 5501.344708471201, 18.094991715820786
6.7165936365877, 097, 5503.008134357076, 5679.491463169312, 5548.064365243003, 18.535666512224367
6.6528936961927, 098, 5548.258901148865, 5727.8370720949515, 5595.27032628886, 18.580355985020127
6.5895937357672, 099, 5593.8969771155425, 5776.784687387637, 5643.025273168358, 19.25607569286288
6.5272938338839, 100, 5639.436593448538, 5825.9548608547175, 5690.770956730449, 19.044963420400922
6.4648938250999, 101, 5686.6960928382105, 5876.116738883864, 5739.003664787886, 19.676846620164252
6.4035939330397, 102, 5733.61089924352, 5926.524290117248, 5787.566653529128, 20.141309848249726
6.3426939730505, 103, 5780.5631558685345, 5977.290027412253, 5836.161821021005, 20.067826920736525
6.2816939636138, 104, 5828.459871605892, 6029.065671071368, 5885.53690780307, 20.231135308262612
6.2217940714783, 105, 5876.276113652802, 6080.8577272837, 5934.788347530153, 20.63623492789186
6.1622941116921, 106, 5924.297183362123, 6132.9742154864425, 5984.410822670676, 20.727376132280117
6.1032941608005, 107, 5972.890696288107, 6184.823523462179, 6034.844066837633, 21.273555639565835
6.0446942008337, 108, 6021.484186948228, 6237.800869908303, 6085.543279149619, 21.673643126213875
5.9998955559224, 109, 6059.387123259281, 6278.551342389126, 6124.896266611045, 21.954352254131898
5.9866986835483, 110, 6070.574411854558, 6290.598273345611, 6136.492824779723, 21.936994773077938
5.9285942497514, 111, 6120.829919980155, 6343.88691812254, 6188.184226180345, 22.333540191720832
