z, snapnum, center_x, center_y, center_z, Rvir
9.311404489009968, 059, 4132.7680856454945, 4229.923527346427, 4142.968569104652, 0.21394631808440556
9.227040307082937, 060, 4166.188742426303, 4264.80316595393, 4177.677654456638, 0.2908534591311571
9.141987905311261, 061, 4200.413682892549, 4300.531546509534, 4213.241722851865, 0.23128430684114148
9.058338387722731, 062, 4234.775373648921, 4336.284752104761, 4248.7679114139, 0.12534934996975666
9.000000000000002, 063, 4259.058145376352, 4361.66100352578, 4273.882482805822, 8.344398517977721
8.976057536985792, 064, 4269.121070394229, 4372.1036281731085, 4284.260421497726, 0.26316043543959755
8.893153938683717, 065, 4304.380641748387, 4408.686747976985, 4320.528991367091, 8.348032512744656
8.811617024284534, 066, 4339.7490016020865, 4445.31209537863, 4356.691999166721, 0.23117199250360984
8.731413042290935, 067, 4375.110776404942, 4481.997876912013, 4392.740368986853, 8.46299702805995
8.650646640832445, 068, 4411.429401100975, 4519.594777182772, 4429.547196613649, 8.629729081128508
8.571209804115838, 069, 4447.777756294846, 4557.3316762107315, 4466.30282782673, 0.3150878972068105
8.492168964780358, 070, 4484.550564715408, 4595.828506291491, 4503.397915428128, 0.24954300845119617
8.41353667611758, 071, 4521.819716132156, 4634.671105949577, 4540.82854160892, 0.2588577905555253
8.33619650053484, 072, 4559.10692645626, 4673.772920359519, 4578.182420987868, 0.22670785210524097
8.259259262862878, 073, 4596.818482003779, 4713.444047707338, 4615.877296411926, 9.675583678156517
8.182736517450303, 074, 4634.880281608155, 4753.811865285808, 4653.9748317831845, 10.040227715736544
8.10663879349832, 075, 4673.29741621367, 4794.906151690265, 4692.527657522241, 10.46531174953114
8.0317919212143, 076, 4711.645599782574, 4835.802053740325, 4731.137484685567, 10.53154442575657
8.000090003823503, 077, 4728.032691919558, 4853.340138247254, 4747.735122486102, 10.552313180738869
7.957362974305253, 078, 4750.372686885947, 4877.451432272399, 4770.430567857868, 0.2489343718793536
7.88336152648805, 079, 4789.401110124785, 4919.819226029266, 4810.2463541330735, 0.2795985647903119
7.810572699897744, 080, 4828.312663118753, 4962.056644616526, 4850.412232739121, 11.183743404267785
7.737439945040133, 081, 4867.984204649689, 5004.945696725728, 4891.649424511198, 11.338643934243533
7.665511313953168, 082, 4907.686371627547, 5047.989877715977, 4933.149296408856, 0.17862844097194122
7.594018606689225, 083, 4947.809442045695, 5091.312978617812, 4975.158217852076, 11.895182036158737
7.522969441749222, 084, 4988.452854193432, 5134.791872904349, 5017.963383160094, 0.18481122652521156
7.453085391044166, 085, 5029.155743539981, 5178.119494894028, 5060.546933201197, 12.338875272503168
7.382932351794869, 086, 5070.712265714618, 5221.959791503949, 5104.196422768719, 12.581716029707575
7.313934161663276, 087, 5112.276315565589, 5265.529727148191, 5147.074981027014, 12.881671758981609
7.2453826540711805, 088, 5154.137171454808, 5309.644714007289, 5190.717877364983, 12.92105994078415
7.177283518384952, 089, 5196.503807381248, 5354.506199410821, 5234.352054136648, 13.269298274522782
7.109642403212405, 090, 5239.170503425406, 5399.408094020796, 5278.1877720978455, 13.427632143524598
7.043111135784677, 091, 5281.869588228406, 5444.569020737747, 5321.856164187669, 0.15685460160163267
7.000000036560879, 092, 5309.796376972157, 5474.417612537338, 5350.260288968598, 13.59032729823451
6.976389936219738, 093, 5325.227574010798, 5491.14781635037, 5366.23125948347, 13.66530101352034
6.910766616444044, 094, 5368.595915745322, 5538.262061024901, 5410.52259423382, 13.941633527535535
6.845598665859808, 095, 5412.2665474468, 5585.680633194199, 5455.063026876475, 13.894174847708449
6.780890138916468, 096, 5456.443275406891, 5634.146839274378, 5500.80002645306, 14.172048212069997
6.71664481703821, 097, 5501.076486687078, 5683.063292873953, 5547.225363107525, 14.43602633875379
6.652866018254551, 098, 5546.26018722988, 5732.3003786129375, 5594.467293354928, 14.76357759608456
6.589556807163865, 099, 5591.918906107963, 5781.173859589793, 5642.212860563448, 15.079064495620825
6.527286430999764, 100, 5637.675189310637, 5829.915056852881, 5689.807013056186, 15.377824840793437
6.464914919349528, 101, 5684.350464238629, 5879.341971412067, 5738.579033085138, 15.635899525570757
6.403568572092624, 102, 5730.85529394407, 5928.44493758704, 5786.581688205491, 15.698865585632628
6.342683033303487, 103, 5777.776104356791, 5978.380307164649, 5834.687622670278, 16.123629661373727
6.281730161200075, 104, 5825.355575505287, 6029.3699104472535, 5883.187876678657, 16.27669889565636
6.221780934217616, 105, 5872.894923965298, 6081.003137540539, 5932.355166009972, 16.46030044976236
6.162297673718384, 106, 5920.82253696591, 6133.553164829238, 5981.994693755967, 16.83056019559515
6.103281750583045, 107, 5969.347578279297, 6186.2186714563, 6032.10050549988, 16.8144640396505
6.044734099380694, 108, 6018.308763892787, 6239.5142342843665, 6083.215808716018, 17.283266576676453
5.999860053326261, 109, 6056.475436843776, 6280.917101949068, 6123.3927284747515, 17.28777570739407
5.98665553343617, 110, 6067.840673419866, 6293.138967506142, 6135.266712359397, 17.62971766724975
5.928566521639082, 111, 6118.255342460551, 6346.675446625502, 6188.104675840572, 17.596728651464794
5.8714354735887975, 112, 6168.488027427469, 6399.910073640947, 6240.200811507168, 18.051585008780982
5.814774460195411, 113, 6218.988507759164, 6453.669531005119, 6292.613238871306, 18.109096682992703
5.758583449302941, 114, 6269.680650283169, 6508.373522015655, 6344.978806482401, 18.447834660186302
5.702862141673826, 115, 6320.730763203424, 6564.030533175152, 6397.438018351338, 18.594968591073318
5.647610208554671, 116, 6372.244018424206, 6620.73480353414, 6450.420169043195, 19.205328199646175
