z, snapnum, center_x, center_y, center_z
14.999994919829, 000, 2677.844843417026, 2709.8040701570003, 2664.2075979865235
14.994899490711, 001, 2678.6908420754585, 2710.677656220696, 2665.057891447162
14.862886935933, 002, 2700.7965744487556, 2733.5092450835814, 2687.2765355955153
14.733187163653, 003, 2722.8730992027395, 2756.3198983295324, 2709.4664172242833
14.603087125488, 004, 2745.384196507708, 2779.5877649843906, 2732.092712364793
14.475087332332, 005, 2767.9003613230243, 2802.8667537187966, 2754.722899946981
14.346787303998, 006, 2790.84665267796, 2826.593665575212, 2777.7841891122366
14.220687520472, 007, 2813.7775149427102, 2850.3060110989736, 2800.8292117758033
14.094287492244, 008, 2837.149108564227, 2874.474148029446, 2824.316626098245
13.999290575826, 009, 2854.974818789036, 2892.906823600176, 2842.230324546486
13.970097088041, 010, 2860.4985446936053, 2898.618466702287, 2847.7812485917684
13.847787895001, 011, 2883.878317410343, 2922.792506249309, 2871.2756535220365
13.725387887113, 012, 2907.6659898897883, 2947.3861400790684, 2895.1793520146334
13.602787868478, 013, 2931.8925571351915, 2972.431591290203, 2919.52418305328
13.482288075301, 014, 2956.103273121012, 2997.4586435482793, 2943.8528921231177
13.363688262331, 015, 2980.328109221025, 3022.4988461150574, 2968.1947631797434
13.244988253586, 016, 3004.9764022807735, 3047.975785802957, 2992.9602649251415
13.126288254584, 017, 3030.0380555852294, 3073.8790717320567, 3018.138277740897
13.009488441566, 018, 3055.112109007845, 3099.7943448100227, 3043.3249864354802
12.999699022011, 019, 3057.2326020636424, 3101.9859476555316, 3045.454808799419
12.894689598403, 020, 3080.1660034353267, 3125.6881955343565, 3068.4868280545734
12.779788629536, 021, 3105.658214652875, 3152.035055706084, 3094.0832415851137
12.666788816774, 022, 3131.144279329936, 3178.376215437815, 3119.666668735467
12.553788817686, 023, 3157.0525212620414, 3205.1548894111233, 3145.6653738110067
12.442689004625, 024, 3182.9461777578604, 3231.919489312987, 3171.638833273233
12.331589005681, 025, 3209.266285529633, 3259.1253613187596, 3198.02673006386
12.22048900655, 026, 3236.021871644815, 3286.7801002492106, 3224.833341762545
12.111289193654, 027, 3262.751623697156, 3314.4035024314844, 3251.5910788512588
12.003889370837, 028, 3289.460377190474, 3341.996323260474, 3278.3051652778945
12.000499661173, 029, 3290.310072548109, 3342.8740061486246, 3279.1548613928653
11.896589713532, 030, 3316.556049924015, 3369.983549090606, 3305.403187289357
11.78938939222, 031, 3344.034436458318, 3398.3732975258395, 3332.9060619261713
11.683889559565, 032, 3371.4567770062017, 3426.7425205810423, 3360.4141098744817
11.580189736839, 033, 3398.7588033947222, 3455.057206015578, 3387.914530010497
11.476589747454, 034, 3426.382618524352, 3483.795151403519, 3415.891582449757
11.373189767788, 035, 3454.3344109895147, 3512.9602204029334, 3444.360140050059
11.271389925534, 036, 3482.2754569133504, 3542.1759531964776, 3472.954120915672
11.169889955662, 037, 3510.5833666918193, 3571.825143293048, 3502.032404486032
11.06999011333, 038, 3538.9023938074156, 3601.5207077151276, 3531.214373250136
11.000493100903, 039, 3558.884574235572, 3622.482758278286, 3551.8464621121557
10.97029699018, 040, 3567.6409924516934, 3631.6686266631073, 3560.8959397504937
10.870790153332, 041, 3596.8250730884756, 3662.276648264879, 3591.0826030062267
10.772990321522, 042, 3626.020266972878, 3692.8692791827893, 3621.296754570337
10.676790478939, 043, 3655.2633720635067, 3723.462550756561, 3651.5436501464205
10.579390362323, 044, 3685.4382545007325, 3754.961466824599, 3682.690025932695
10.484990656949, 045, 3715.259867708561, 3786.014637510986, 3713.3746735741493
10.389490549815, 046, 3746.018666225686, 3817.978440689326, 3744.925008423717
10.295590707536, 047, 3776.8541739738766, 3849.965333324782, 3776.458227309657
10.201990737577, 048, 3808.183502883376, 3882.4252430269703, 3808.4072139686136
10.109890885404, 049, 3839.5885757111696, 3914.953576518879, 3840.3640517850868
10.018090915506, 050, 3871.462627370731, 3947.9807502513686, 3872.749384779346
9.9998981846605, 051, 3877.8472123015936, 3954.6001462098147, 3879.2317038675774
9.9277928490036, 052, 3903.3739186920784, 3981.0846948976055, 3905.135424697729
9.8377910931976, 053, 3935.73517997723, 4014.7253467286882, 3937.950372089889
9.7480911233776, 054, 3968.5429856725996, 4048.9401023553237, 3971.2033402765146
9.6597912613927, 055, 4001.3805151302345, 4083.345692696387, 4004.4953932375847
9.5718913012486, 056, 4034.577844863706, 4118.363134507916, 4038.206739411522
9.4843913409811, 057, 4068.0095823983647, 4153.943057378007, 4072.3437342732564
9.3971913713453, 058, 4101.712635177239, 4189.965888304776, 4106.974237818921
9.3113915090456, 059, 4135.353674022447, 4225.907369260268, 4141.672720437795
9.2269916470333, 060, 4168.975040632521, 4261.754075419431, 4176.425648320968
9.1419915889082, 061, 4203.403175342403, 4298.364202876782, 4212.047338769184
9.0582917167547, 062, 4237.874760322021, 4334.914079795154, 4247.734631620824
8.9999942129972, 063, 4262.228466689659, 4360.669759383063, 4272.950369196256
8.9760976177094, 064, 4272.2955338270585, 4371.299319330175, 4283.371789706713
8.8931917960193, 065, 4307.616820675706, 4408.514129903395, 4319.910176582255
8.8115919247802, 066, 4342.988268671376, 4445.694378928332, 4356.4459605649545
8.7313920625196, 067, 4378.339374145802, 4482.7947894803865, 4392.8973313142615
8.6505920041932, 068, 4414.547422740936, 4520.761168791295, 4430.159932980883
8.5711921422878, 069, 4450.71730889006, 4558.674323115357, 4467.289419680074
8.4921921819391, 070, 4487.292947452024, 4597.025443093352, 4504.720078812796
