z, snapnum, center_x, center_y, center_z
14.994881640805401, 001, 2666.9818273370956, 2708.596294917719, 2661.194079963189
14.86294422706672, 002, 2689.1929538635604, 2731.338012522089, 2683.416502363268
14.733165562947939, 003, 2711.4071611409886, 2754.0822277874395, 2705.6402229036103
14.603058259505584, 004, 2734.0521360982675, 2777.2665891698457, 2728.292658505095
14.475085211045718, 005, 2756.701032333339, 2800.453693540983, 2750.9464226505097
14.346838579409678, 006, 2779.782158080787, 2824.0808454697935, 2774.0292082544133
14.220700255034602, 007, 2802.868459790574, 2847.7106293226475, 2797.1135317296494
14.09433973384446, 008, 2826.3885100988364, 2871.780673223136, 2820.6271659326044
13.999250093326285, 009, 2844.3536732978027, 2890.1633047194846, 2838.5847873671596
13.970059983313066, 010, 2849.91530387942, 2895.8534628210596, 2844.1433365665366
13.847809998185655, 011, 2873.4486242379216, 2919.9286109564064, 2867.6624376479535
13.72537185348397, 012, 2897.4167205649233, 2944.4438886093035, 2891.612867764945
13.602803825544338, 013, 2921.8175625501817, 2969.3996502038835, 2915.9955094527245
13.482259341986817, 014, 2946.220704422969, 2994.359815803208, 2940.382084653513
13.363688676929963, 015, 2970.6257961448027, 3019.3268588989426, 2964.772460354667
13.245014321296457, 016, 2995.46202009208, 3044.739706900951, 2989.5940620546553
13.12628912967963, 017, 3020.7298713334762, 3070.5984737669855, 3014.846639521677
13.009526564220733, 018, 3046.0012113695625, 3096.4652275196286, 3040.1023035352164
12.999720087950351, 019, 3048.1430151546347, 3098.6579063107697, 3042.242692348578
12.894678396001847, 020, 3071.2768620909906, 3122.3408283851186, 3065.3608742368197
12.77979891418325, 021, 3096.9859974486476, 3148.6639753801455, 3091.0504624680416
12.666803424236653, 022, 3122.7002518819954, 3174.996349368175, 3116.742878815462
12.55380868206109, 023, 3148.8488955712382, 3201.7772247540556, 3142.866113240077
12.442667137854517, 024, 3175.0034726015792, 3228.568895281045, 3168.9922461011774
12.331555819466983, 025, 3201.593400710229, 3255.811511639013, 3195.5493972004724
12.22051824752823, 026, 3228.6200789948884, 3283.5066809648615, 3222.5372325096964
12.111315094722865, 027, 3255.6552418129463, 3311.2159570005633, 3249.527534119987
12.003901171132824, 028, 3282.6996961614554, 3338.9401985400104, 3276.5203281074014
12.000520129036715, 029, 3283.5584429078212, 3339.820468517073, 3277.3772587937847
11.896569606893607, 030, 3310.184469042972, 3367.1205644264387, 3303.94419276284
11.789359272131726, 031, 3338.1112445708472, 3395.7597978442705, 3331.7993250608747
11.68391686716682, 032, 3366.051231789965, 3424.419794002639, 3359.656637194439
11.580198839475592, 033, 3394.0055973710805, 3453.1054820697623, 3387.515087049291
11.47660640235505, 034, 3422.4040059520958, 3482.2692000679713, 3415.802114278638
11.373174986754059, 035, 3451.240275385778, 3511.921232934733, 3444.5166606849716
