z, snapnum, center_x, center_y, center_z
100.00000159908085, 001, 427.7960178196471, 426.1667436789686, 417.9639546093674
14.980072010104426, 002, 2683.0896869874277, 2714.8674544358587, 2661.478435649126
14.951032867542333, 003, 2687.917742947293, 2719.8604332451173, 2666.38303830755
14.841355411226276, 004, 2706.3049656508165, 2738.883652029975, 2685.07550160702
14.674001940504908, 005, 2734.8302039387663, 2768.420217321948, 2714.129375385012
14.592276387873651, 006, 2748.9704698972578, 2783.0684701929567, 2728.5609449073418
14.474295235780993, 007, 2769.6308658724415, 2804.4714404739907, 2749.6881292323405
14.322555784731108, 008, 2796.6429237483317, 2832.4261329440847, 2777.3911168280833
14.195110074020777, 009, 2819.7475006105824, 2856.2577196509656, 2801.11937368193
14.088208444851654, 010, 2839.4654186700177, 2876.5037300932845, 2821.3252621436172
13.989127116864186, 011, 2858.0357668951465, 2895.499700249623, 2840.2639356890922
13.964232571737627, 012, 2862.744850033047, 2900.3116076185474, 2845.0534016764364
13.836918738011814, 013, 2887.0905338509483, 2925.184130552078, 2869.7510994402883
13.713172285265497, 014, 2911.1684849871767, 2949.7941755608904, 2894.1063423970745
13.585936526900564, 015, 2936.3569752670724, 2975.5657488221973, 2919.5281672272063
13.463806577460195, 016, 2960.9508852628946, 3000.771487733591, 2944.310662217658
13.340654301126913, 017, 2986.166578489357, 3026.665737075552, 2969.6903626532257
13.242405539039625, 018, 3006.587100047937, 3047.680101942785, 2990.225999560138
13.126127655127918, 019, 3031.105234873192, 3072.971155587749, 3014.8683322176553
7.992292184413477, 079, 4732.837560517631, 4856.178601831805, 4753.021766713695
12.994679040106936, 020, 3059.275828262326, 3102.128696476923, 3043.181206137049
12.972594726171739, 021, 3064.0558051439457, 3107.0878785499094, 3047.9870876044074
12.879808745503114, 022, 3084.2875718311325, 3128.117983671766, 3068.3375354415484
12.770288358594104, 023, 3108.476739945948, 3153.354110193988, 3092.694259088873
12.665811045035882, 024, 3131.8473172135596, 3177.8704690981326, 3116.2810869660916
12.546462113322754, 025, 3158.8895506740373, 3206.430038463492, 3143.7078992580414
12.432141799009816, 026, 3185.1487737787274, 3234.3195657964116, 3170.5301659078923
12.326272808593805, 027, 3209.84869106998, 3260.5456633673416, 3195.9024992021673
12.200033810817095, 028, 3239.878193743131, 3292.294896210357, 3226.7842283298087
12.103228065198959, 029, 3263.342596310178, 3317.006712859284, 3250.9089596990025
11.988606080238522, 030, 3291.624189905162, 3346.688824018025, 3279.9710190117266
11.96938436282037, 031, 3296.4203140844043, 3351.712217991402, 3284.897591466597
11.892372325581258, 032, 3315.7924060609676, 3371.9718306025743, 3304.7900513207624
11.780151453451825, 033, 3344.477061053966, 3401.8784620755237, 3334.224495995152
11.68305656743088, 034, 3369.742834896465, 3428.1243238544844, 3360.12868732517
11.570216038559986, 035, 3399.6483919644793, 3459.0564983909057, 3390.7542677159317
11.475731637390425, 036, 3425.1597198117947, 3485.3033258856244, 3416.8352677636253
11.366724876867575, 037, 3455.171152129774, 3515.9393293724293, 3447.423470667182
11.265018584457554, 038, 3483.7839334382757, 3544.8025689382516, 3476.389415451791
11.160416780160986, 039, 3513.5819471134887, 3575.0372921586595, 3506.440936223871
11.059977468793138, 040, 3542.4877433875045, 3604.7880205550205, 3535.680456204049
10.992352246854766, 041, 3562.1475489180416, 3625.2077720383136, 3555.6256434452835
10.956460123359136, 042, 3572.6510665179967, 3636.1728378984, 3566.3010183315905
10.865564977541316, 043, 3599.4782974013156, 3664.33866487094, 3593.6266767201296
10.764635441659424, 044, 3629.694532719835, 3696.2628898500006, 3624.4805003959646
10.68084052563667, 045, 3655.173679109419, 3723.2484609998696, 3650.520179786833
10.569883248873257, 046, 3689.53885633654, 3759.627235946168, 3685.6131149267158
10.474781032694791, 047, 3719.618957809657, 3791.3699231220535, 3716.2769864850534
10.378203473065017, 048, 3750.798504368962, 3824.115785082648, 3748.001061030325
10.287055531776307, 049, 3780.841802136946, 3855.480258930695, 3778.5156608790885
10.195151340673702, 050, 3811.735031714169, 3887.53912052132, 3809.8930655395134
10.101757654682856, 051, 3843.719518126795, 3920.5508895251774, 3842.453566838489
10.01159115932884, 052, 3875.1168827963406, 3952.8294649845207, 3874.609669787671
9.996954570197842, 053, 3880.2530142289597, 3958.1047355937003, 3879.9045363902064
9.926287558209928, 054, 3905.0813035869614, 3983.7520609442054, 3905.7709408062215
9.827687373931985, 055, 3939.907152802283, 4020.3344185849746, 3942.2793186422264
9.741930617767128, 056, 3970.7057782249303, 4052.824895580419, 3974.305806076041
9.658763134120123, 057, 4001.0992012518614, 4084.907754771356, 4005.6730372477173
9.560178361246823, 058, 4037.8554420165055, 4123.688598446313, 4043.282341253852
9.479478456453053, 059, 4068.5918074247347, 4156.040944793779, 4074.436637952953
9.386129781771984, 060, 4104.967815769407, 4194.144830666935, 4110.945395495153
9.305713094216003, 061, 4137.076290724515, 4227.485745477951, 4142.912286608352
9.22429771256385, 062, 4169.970935765918, 4261.612249245953, 4175.993119755819
9.132826809386861, 063, 4207.102443969329, 4300.527129693951, 4214.082414469476
9.057446048498916, 064, 4237.853546046244, 4333.289709388428, 4246.154656988359
8.994668904973654, 065, 4263.821910870419, 4361.189162390628, 4273.024842037306
8.969165508993122, 066, 4274.576366628575, 4372.604308748358, 4283.965670188656
8.880962385605066, 067, 4312.606208014285, 4412.381841722933, 4322.282728767684
8.807737242375708, 068, 4344.7261628724455, 4445.8061639176885, 4354.7452859901105
8.719575441999275, 069, 4383.750348184868, 4486.716665903007, 4394.597666501867
